time,open,high,low,close,Volume
1541109600,1.1403,1.14559,1.13723,1.13882,NaN
1541365200,1.14006,1.14239,1.13532,1.14073,NaN
1541455200,1.14073,1.1438,1.13916,1.14272,NaN
1541541600,1.14272,1.14997,1.13949,1.14261,NaN
1541628000,1.14262,1.14469,1.13517,1.13633,NaN
1541714400,1.13634,1.1369,1.13164,1.13359,NaN
1541970000,1.13156,1.13308,1.12156,1.12181,NaN
1542060000,1.12181,1.12937,1.12169,1.12904,NaN
1542146400,1.12897,1.13477,1.12633,1.13097,NaN
1542232800,1.131,1.13624,1.12708,1.13279,NaN
1542319200,1.13279,1.14206,1.13218,1.14134,NaN
1542574800,1.14031,1.14647,1.13941,1.14544,NaN
1542664800,1.14541,1.14724,1.13587,1.13707,NaN
1542751200,1.13707,1.14248,1.13657,1.13833,NaN
1542837600,1.13845,1.14342,1.13822,1.14032,NaN
1542924000,1.14032,1.14212,1.13279,1.13377,NaN
1543179600,1.13415,1.13838,1.1325,1.13276,NaN
1543269600,1.13276,1.13439,1.12775,1.12895,NaN
1543356000,1.12901,1.13877,1.12673,1.13665,NaN
1543442400,1.13665,1.14017,1.13488,1.13934,NaN
1543528800,1.13934,1.14006,1.13055,1.13163,NaN
1543784400,1.13573,1.13798,1.13195,1.13545,NaN
1543874400,1.13545,1.14188,1.13186,1.13427,NaN
1543960800,1.13429,1.13615,1.1311,1.13446,NaN
1544047200,1.13446,1.14127,1.13211,1.13747,NaN
1544133600,1.13747,1.14236,1.13604,1.13823,NaN
1544389200,1.13874,1.14429,1.13505,1.13571,NaN
1544479200,1.13571,1.14001,1.13064,1.13168,NaN
1544565600,1.13168,1.13874,1.13151,1.13684,NaN
1544652000,1.13683,1.13935,1.13313,1.13606,NaN
1544738400,1.13606,1.13652,1.12701,1.13063,NaN
1544994000,1.13037,1.13578,1.13004,1.13478,NaN
1545084000,1.13479,1.14024,1.13369,1.13609,NaN
1545170400,1.13609,1.14395,1.13604,1.13766,NaN
1545256800,1.13769,1.14859,1.13717,1.14461,NaN
1545343200,1.14461,1.14741,1.13561,1.13725,NaN
1545598800,1.13651,1.14386,1.13613,1.14207,NaN
1545775200,1.14093,1.14202,1.1343,1.13526,NaN
1545861600,1.13526,1.14542,1.13522,1.14306,NaN
1545948000,1.14306,1.14728,1.14274,1.14447,NaN
1546203600,1.14425,1.14677,1.14216,1.14672,NaN
1546380000,1.14634,1.14969,1.13253,1.1344,NaN
1546466400,1.1344,1.14113,1.13093,1.13937,NaN
1546552800,1.13937,1.14192,1.13458,1.13955,NaN
1546808400,1.13994,1.14827,1.1397,1.14743,NaN
1546898400,1.14743,1.14846,1.14221,1.14414,NaN
1546984800,1.14416,1.1558,1.14369,1.15426,NaN
1547071200,1.15426,1.157,1.14846,1.15,NaN
1547157600,1.15,1.15407,1.14581,1.1469,NaN
1547413200,1.1454,1.14822,1.14507,1.14685,NaN
1547503200,1.14685,1.14897,1.13821,1.14129,NaN
1547589600,1.14129,1.14249,1.13779,1.13919,NaN
1547676000,1.13919,1.14062,1.13703,1.1389,NaN
1547762400,1.1389,1.14103,1.13534,1.13623,NaN
1548018000,1.13652,1.13913,1.13569,1.13653,NaN
1548108000,1.13653,1.13741,1.13362,1.13598,NaN
1548194400,1.13596,1.13944,1.13511,1.1381,NaN
1548280800,1.1381,1.13916,1.12895,1.13043,NaN
1548367200,1.13041,1.14177,1.13008,1.14058,NaN
1548622800,1.14041,1.14438,1.13903,1.14286,NaN
1548712800,1.14286,1.14504,1.14114,1.14326,NaN
1548799200,1.14329,1.15017,1.14064,1.14798,NaN
1548885600,1.14799,1.15143,1.14359,1.14472,NaN
1548972000,1.14475,1.14886,1.14345,1.14562,NaN
1549227600,1.14489,1.14605,1.14243,1.14373,NaN
1549317600,1.14373,1.14405,1.14013,1.14055,NaN
1549404000,1.14055,1.14096,1.1361,1.1362,NaN
1549490400,1.13618,1.13685,1.13247,1.13409,NaN
1549576800,1.13412,1.1351,1.13212,1.13219,NaN
1549832400,1.13228,1.13301,1.12675,1.12761,NaN
1549922400,1.12761,1.13397,1.12578,1.13261,NaN
1550008800,1.13256,1.13417,1.12603,1.12607,NaN
1550095200,1.12607,1.131,1.12494,1.12955,NaN
1550181600,1.12952,1.13063,1.12343,1.12923,NaN
1550437200,1.12994,1.1334,1.12895,1.13106,NaN
1550527200,1.13106,1.13576,1.12756,1.13405,NaN
1550613600,1.13405,1.13712,1.1325,1.13379,NaN
1550700000,1.13379,1.13666,1.132,1.13359,NaN
1550786400,1.13363,1.13557,1.13161,1.13353,NaN
1551042000,1.13474,1.13676,1.13288,1.13578,NaN
1551132000,1.13578,1.14029,1.13453,1.13896,NaN
